title,price,condition,year,trim,colour,transmission,drivetrain,fuel,kilometers,postal_code,date_posted,url
 2017 Toyota RAV4 LE,23309.,Used,2017,LE,Grey,Automatic,Front-wheel drive (FWD),Other,"81,324",L6S 0C2,2022-06-26,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2017-toyota-rav4-le/m4154750
2018 Toyota RAV4 AWD Hybrid SE | LEATHER | HEATED STEERING |,40995.,Used,2018,AWD Hybrid SE,Silver,,All-wheel drive (AWD),Hybrid-Electric,"72,656",K7C 3P5,2022-05-29,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-awd-hybrid-se-leather-heated-steering/m3932661
2018 Toyota RAV4 LE HEATED SEATS | BLUETOOTH | BACKUP CAM | A...,30288.,Used,2018,LE,Silver,Automatic,All-wheel drive (AWD),Gasoline,"44,468",L3P 1B9,2022-07-03,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2018-toyota-rav4-le-heated-seats-bluetooth-backup-cam-a/m4197775
2018 Toyota RAV4 AWD Hybrid LE+ - Heated Seats - $299 B/W,36898.,Used,2018,AWD Hybrid LE+,Other,Automatic,All-wheel drive (AWD),Hybrid-Electric,"68,503",K2J 6H8,2022-07-17,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-awd-hybrid-le-heated-seats-299-b-w/m4304091
2018 Toyota RAV4 AWD Hybrid SE | LEATHER | HEATED STEERING |,40995.,Used,2018,AWD Hybrid SE,Silver,,All-wheel drive (AWD),Hybrid-Electric,"72,656",K7M 7E6,2022-05-29,https://www.kijiji.ca/v-cars-trucks/kingston-on/2018-toyota-rav4-awd-hybrid-se-leather-heated-steering/m3932672
2020 Toyota RAV4 LE - Heated Seats - Apple CarPlay - $258 B/W,35898.,Used,2020,LE,Other,Automatic,All-wheel drive (AWD),Gasoline,"23,101",K2J 6H8,2022-07-17,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-toyota-rav4-le-heated-seats-apple-carplay-258-b-w/m4304087
2018 Toyota RAV4 AWD Hybrid SE | LEATHER | HEATED STEERING | NAV |,43995.,Used,2018,AWD Hybrid SE,Black,,All-wheel drive (AWD),Hybrid-Electric,"46,275",K7C 3P5,2022-05-29,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-awd-hybrid-se-leather-heated-steering-nav/m3932658
2018 Toyota RAV4 AWD Hybrid SE | LEATHER | HEATED STEERING |,40995.,Used,2018,AWD Hybrid SE,Silver,,All-wheel drive (AWD),Hybrid-Electric,"72,656",K6K 1R8,2022-05-29,https://www.kijiji.ca/v-cars-trucks/cornwall-on/2018-toyota-rav4-awd-hybrid-se-leather-heated-steering/m3932642
2019 Toyota RAV4 XLE,37388.,Used,2019,XLE,White,Automatic,All-wheel drive (AWD),Gasoline,"35,662",L3P 1B9,2022-07-24,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2019-toyota-rav4-xle/m4375614
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2020-toyota-rav4-le-awd-radar-cruise-blind-spot-monitor/m3048003
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/cornwall-on/2018-toyota-rav4-awd-hybrid-se-leather-heated-steering-nav/m3932641
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/kingston-on/2018-toyota-rav4-awd-hybrid-se-leather-heated-steering-nav/m3932668
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2021-toyota-rav4-limited/m4250159
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2021-toyota-rav4-trail-trail-awd-leather-sunroof-ventilated-s/m4375283
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2020-toyota-rav4-le-awd-radar-cruise-blind-spot-monitor/m3047999
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/barrie/2017-toyota-rav4-le-awd/m2548883
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2021-toyota-rav4-xle-xle-premium-awd-leather-remote-connect-tcuv/m4375270
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/ottawa/2019-toyota-rav4-trail/m3267256
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/hamilton/2018-toyota-rav4-xle/m4375376
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2020-toyota-rav4-le-awd-2-5-l-8-speed-automatic/m3047996
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2021-toyota-rav4-limited/m3792074
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/ottawa/2019-toyota-rav4-hybrid-limited-leather-seats/m4248987
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2019-toyota-rav4-le/m3289060
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-toyota-rav4-le-awd-2-5-l-8-speed-automatic/m3047994
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/barrie/2016-toyota-rav4-hybrid-limited-251-b-w/m3987030
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-toyota-rav4-le-heated-seats-rearview-camera-cruise-con/m4302875
 2018 Toyota RAV4 LE,27995.,Used,2018,LE,Red,Automatic,All-wheel drive (AWD),Gasoline,0,L9B 1K8,2022-07-17,https://www.kijiji.ca/v-cars-trucks/hamilton/2018-toyota-rav4-le/m4302860
2018 Toyota RAV4 AWD Hybrid SE | LEATHER | HEATED STEERING |,40995.,Used,2018,AWD Hybrid SE,Silver,,All-wheel drive (AWD),Hybrid-Electric,"72,656",K1C 1T1,2022-05-29,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-awd-hybrid-se-leather-heated-steering/m3931183
 2020 Toyota RAV4 XLE,33684.,Used,2020,XLE,Blue,Automatic,All-wheel drive (AWD),Other,"61,135",N5A 6S5,2022-06-19,https://www.kijiji.ca/v-cars-trucks/stratford-on/2020-toyota-rav4-xle/m4081853
2018 Toyota RAV4 AWD Hybrid SE | LEATHER | HEATED STEERING | NAV |,43995.,Used,2018,AWD Hybrid SE,Black,,All-wheel drive (AWD),Hybrid-Electric,"46,275",K1C 1T1,2022-05-29,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-awd-hybrid-se-leather-heated-steering-nav/m3931181
2020 Toyota RAV4 LE,36489.,Used,2020,LE,Black,Automatic,All-wheel drive (AWD),Other,"44,568",K2E 1A5,2022-06-12,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-toyota-rav4-le/m4033619
2016 Toyota RAV4 LE,23888.,Used,2016,LE,Grey,Automatic,All-wheel drive (AWD),Other,"84,255",K1C 4R1,2022-05-15,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-toyota-rav4-le/m3838483
 2019 Toyota RAV4 AWD XLE,38995.,Used,2019,AWD XLE,Blue,,All-wheel drive (AWD),Other,"38,881",K7M 4X6,2022-07-24,https://www.kijiji.ca/v-cars-trucks/kingston-on/2019-toyota-rav4-awd-xle/m4374543
2019 Toyota RAV4 LE | AWD | 2.5 L | 8-Speed Automatic,32495.,Used,2019,LE | AWD | 2.5 L | 8-Speed Automatic,Grey,Automatic,All-wheel drive (AWD),Gasoline,"63,122",L4W 0E7,2022-01-16,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-toyota-rav4-le-awd-2-5-l-8-speed-automatic/m3047984
" 2015 Toyota RAV4 XLE| AWD| ROOF| 18\""ALLOY| CLEAN CARFAX| BACKUP CAM",21198.,Used,2015,XLE| AWD| ROOF| 18\ALLOY| CLEAN CARFAX| BACKUP CAM,White,Automatic,All-wheel drive (AWD),Other,"147,255",L4A 0W7,2022-07-24,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2015-toyota-rav4-xle-awd-roof-18-alloy-clean-carfax-backup-cam/m4374553
 2018 Toyota RAV4 Hybrid SE,36488.,Used,2018,Hybrid SE,Blue,Automatic,All-wheel drive (AWD),Hybrid-Electric,"117,970",L1N 2K6,2022-07-24,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2018-toyota-rav4-hybrid-se/m4374460
 2018 Toyota RAV4 LE,29995.,Used,2018,LE,Red,Automatic,All-wheel drive (AWD),Gasoline,"96,708",K7M 4Y3,2022-04-25,https://www.kijiji.ca/v-cars-trucks/kingston-on/2018-toyota-rav4-le/m3701576
 2019 Toyota RAV4 LE,32254.,Used,2019,LE,Red,Automatic,All-wheel drive (AWD),Gasoline,"57,001",N3T 5L8,2022-05-05,https://www.kijiji.ca/v-cars-trucks/brantford/2019-toyota-rav4-le/m3772407
2011 Toyota RAV4 Base,11999.,Used,2011,Base,Black,Automatic,Front-wheel drive (FWD),Gasoline,"160,587",N0L 1R0,2022-06-20,https://www.kijiji.ca/v-cars-trucks/london/2011-toyota-rav4-base/m4088102
2018 Toyota RAV4 LE,28295.,Used,2018,LE,Red,Automatic,All-wheel drive (AWD),Gasoline,"85,451",K2H 5Z2,2022-04-15,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-le/m3645378
2017 Toyota RAV4 AWD 4dr SE,31988.,Used,2017,AWD 4dr SE,Blue,Automatic,All-wheel drive (AWD),Other,"61,702",N6P 1L1,2022-06-24,https://www.kijiji.ca/v-cars-trucks/london/2017-toyota-rav4-awd-4dr-se/m4134979
2019 Toyota RAV4 LE | AWD | 2.5 L | 8-Speed Automatic,32995.,Used,2019,LE | AWD | 2.5 L | 8-Speed Automatic,Silver,Automatic,All-wheel drive (AWD),Gasoline,"56,244",L4W 0E7,2022-01-16,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-toyota-rav4-le-awd-2-5-l-8-speed-automatic/m3047983
2020 Toyota RAV4 Hybrid XLE Hybrid,48900.,Used,2020,XLE,Grey,Automatic,All-wheel drive (AWD),Hybrid-Electric,"55,287",N8R 1A1,2022-04-03,https://www.kijiji.ca/v-cars-trucks/windsor-area-on/2020-toyota-rav4-hybrid-xle-hybrid/m3561183
2019 Toyota RAV4 LE | AWD | 2.5 L | 8-Speed Automatic | Moonroof,32995.,Used,2019,LE | AWD | 2.5 L | 8-Speed Automatic | Moonroof,Black,Automatic,All-wheel drive (AWD),Gasoline,"59,585",L4W 0E7,2022-01-16,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-toyota-rav4-le-awd-2-5-l-8-speed-automatic-moonroof/m3047980
2019 Toyota RAV4 LE | AWD | 2.5 L | 8-Speed Automatic,32995.,Used,2019,LE | AWD | 2.5 L | 8-Speed Automatic,Grey,Automatic,All-wheel drive (AWD),Gasoline,"61,478",L4W 0E7,2022-01-16,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-toyota-rav4-le-awd-2-5-l-8-speed-automatic/m3047975
" 2021 Toyota RAV4 LE Accident Free, One Owner!!!",32999.,Used,2021,"LE Accident Free, One Owner!!!",White,Automatic,Front-wheel drive (FWD),Gasoline,"112,861",L4L 4Y6,2022-05-29,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2021-toyota-rav4-le-accident-free-one-owner/m3930379
 2018 Toyota RAV4,,Used,2018,,Red,Automatic,Other,Other,"97,450",M1E 2M5,2022-07-24,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-toyota-rav4/m4373786
2018 Toyota RAV4 LE,30995.,Used,2018,LE,Other,Automatic,All-wheel drive (AWD),Gasoline,"92,542",L7A 1A9,2022-06-19,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2018-toyota-rav4-le/m4079478
2018 Toyota RAV4 LE,29995.,Used,2018,LE,White,Automatic,Front-wheel drive (FWD),Gasoline,"44,029",L7A 1A9,2022-06-19,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2018-toyota-rav4-le/m4079476
2015 Toyota RAV-4 Limited,26995.,Used,2015,Limited,Grey,Automatic,Other,Other,"86,519",M1E 2P4,2022-06-24,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2015-toyota-rav-4-limited/m4135593
 2019 Toyota RAV4 LE | NO ACCIDENT | AWD | HTD SEATS | BLUETOOTH,32655.,Used,2019,LE | NO ACCIDENT | AWD | HTD SEATS | BLUETOOTH,Black,Automatic,All-wheel drive (AWD),Other,"79,361",L7R 3P8,2022-03-26,https://www.kijiji.ca/v-cars-trucks/hamilton/2019-toyota-rav4-le-no-accident-awd-htd-seats-bluetooth/m3494213
 2017 Toyota RAV4 se,30888.,Used,2017,Se,Grey,Automatic,All-wheel drive (AWD),Gasoline,"94,265",K2S 1B9,2022-04-24,https://www.kijiji.ca/v-cars-trucks/ottawa/2017-toyota-rav4-se/m3695157
 2019 Toyota RAV4 LE | NO ACCIDENT | AWD | HTD SEATS | BLUETOOTH,32655.,Used,2019,LE | NO ACCIDENT | AWD | HTD SEATS | BLUETOOTH,Black,Automatic,All-wheel drive (AWD),Other,"79,361",L7R 2E4,2022-03-26,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2019-toyota-rav4-le-no-accident-awd-htd-seats-bluetooth/m3494074
2017 Toyota RAV4 AWD 4dr SE,31988.,Used,2017,AWD 4dr SE,Blue,Automatic,All-wheel drive (AWD),Other,"61,702",N6P 1L1,2022-06-24,https://www.kijiji.ca/v-cars-trucks/london/2017-toyota-rav4-awd-4dr-se/m4134979
 2021 Toyota RAV4 Limited AWD | 360 CAM | COOLED SEATS | JBL AUDIO,49987.,Used,2021,Limited AWD | 360 CAM | COOLED SEATS | JBL AUDIO,Silver,Automatic,All-wheel drive (AWD),Other,"8,839",K1B 3L8,2022-07-24,https://www.kijiji.ca/v-cars-trucks/ottawa/2021-toyota-rav4-limited-awd-360-cam-cooled-seats-jbl-audio/m4373181
 2019 Toyota RAV4 LE FWD | LOCAL TRADE | HEATED SEATS | BLUETOOTH,32555.,Used,2019,LE FWD | LOCAL TRADE | HEATED SEATS | BLUETOOTH,Silver,Automatic,Front-wheel drive (FWD),Other,"62,003",N3R 7K3,2022-06-24,https://www.kijiji.ca/v-cars-trucks/brantford/2019-toyota-rav4-le-fwd-local-trade-heated-seats-bluetooth/m4134943
 2021 Toyota RAV4 Hybrid XSE AWD | SUNROOF | LEATHER | HTD SEATS,54216.,Used,2021,XSE AWD | SUNROOF | LEATHER | HTD SEATS,White,Automatic,Other,Other,"17,728",K1B 3L8,2022-06-26,https://www.kijiji.ca/v-cars-trucks/ottawa/2021-toyota-rav4-hybrid-xse-awd-sunroof-leather-htd-seats/m4151732
2019 Toyota RAV4 XLE,34995.,Used,2019,XLE,Black,Automatic,Other,Gasoline,"164,773",L7A 1A9,2022-06-05,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-toyota-rav4-xle/m3984302
2019 Toyota RAV4 LIMITED,44995.,Used,2019,LIMITED,White,Automatic,Other,Gasoline,"23,450",L7A 1A9,2022-05-22,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-toyota-rav4-limited/m3883189
2022 Toyota RAV 4 LE AWD,42500.,Used,2022,LE,Black,Automatic,,Gasoline,"4,500","N6G, CA",2022-07-24,https://www.kijiji.ca/v-cars-trucks/london/2022-toyota-rav-4-le-awd/m4373075
2010 Toyota RAV4,10500.,Used,2010,Base,Silver,Automatic,All-wheel drive (AWD),Gasoline,"198,000",L1R 0H7,2022-07-24,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2010-toyota-rav4/1626330615
2019 Toyota RAV4 LE,,Used,2019,LE,Grey,,Other,Gasoline,"55,840", M9L1Y3,2022-01-23,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-toyota-rav4-le/m3085453
2012 Toyota Rav4 Limited,13500.,Used,2012,,,,,,"211,000",L6K 2C7,2022-07-24,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2012-toyota-rav4-limited/1626322917
"2019 Toyota RAV4 Hybrid XLE W/ Backup Cam, CarPlay, Power Moonroof",41990.,Used,2019,"Hybrid XLE W/ Backup Cam, CarPlay, Power Moonroof",Blue,Automatic,All-wheel drive (AWD),Hybrid-Electric,"103,204",N6B 1Z2,2022-06-25,https://www.kijiji.ca/v-cars-trucks/london/2019-toyota-rav4-hybrid-xle-w-backup-cam-carplay-power-moonroof/m4151456
Toyota RAV 4 SE Hybrid AWD 2022,60000.,Lease Takeover,2022,Hybrid SE,Blue,Automatic,All-wheel drive (AWD),Hybrid-Electric,180, M3N2C1,2022-07-23,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/toyota-rav-4-se-hybrid-awd-2022/1626305983
2018 Toyota RAV4 LE,26995.,Used,2018,LE,Red,Automatic,Front-wheel drive (FWD),Gasoline,"71,852",L7A 1A9,2022-07-08,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2018-toyota-rav4-le/m4228496
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2011-toyota-rav4-no-accident-all-wheel-drive-low-km-certified/m4042423
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2017-toyota-rav4-awd-4dr-se-very-low-mileage/1626298583
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/ottawa/2019-toyota-rav4-le/m3548240
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2009-toyota-rav4/1626290762
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/london/2019-toyota-rav4-xle-w-carplay-heated-front-seats-cam/m3417346
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/ottawa/2019-toyota-rav4-hybrid-xle/m4132360
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2017-toyota-rav4-limited-navigation-winter-tires-top-of-line/m2976496
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-le/m4132359
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2014-toyota-rav4-xle/m3928082
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2015-toyota-rav4/m3893944
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2016-toyota-rav4-le-aut0-awd-a-c-h-seats-bluetooth/m4078906
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2017-toyota-rav4-se-se-awd-leather-heated-seats-heated-stee/m4371644
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/st-catharines/2020-toyota-rav4-xle/m4371452
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2017-toyota-rav4-hybrid-se-se-awd-with-low-kilometers-and-lea/m4371314
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-toyota-rav4-le/m3396328
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2020-toyota-rav4-le-w-carplay-backup-cam-heated-front-seats/m3474788
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2019-toyota-rav4-awd-le-terrainmodes-backupcam-heatedseats-alloys/m3813708
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/cambridge/2013-toyota-rav4-limited/m4140607
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-toyota-rav4-xle/m4187432
,,,,,,,,,,,,https://www.kijiji.ca/v-cars-trucks/sudbury/2018-toyota-rav4-hybrid-limited-all-wheel-drive/m4131687
2019 Toyota RAV4 LE,29988.,Used,2019,LE,Grey,Automatic,All-wheel drive (AWD),Gasoline,"79,321",L3Y 8L9,2022-05-14,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2019-toyota-rav4-le/m3835302
2018 Toyota RAV4 LE NEW ARRIVAL *MP3 AUDIO *REARVIEW CAMERA *...,33699.,Used,2018,LE,Red,Automatic,All-wheel drive (AWD),Gasoline,"28,916",L7A 1A9,2022-05-07,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2018-toyota-rav4-le-new-arrival-mp3-audio-rearview-camera/m3789064
 2021 Toyota RAV4 Prime XSE,73995.,Used,2021,XSE,Grey,Automatic,All-wheel drive (AWD),Hybrid-Electric,"59,425",K7M 4Y3,2022-07-23,https://www.kijiji.ca/v-cars-trucks/kingston-on/2021-toyota-rav4-prime-xse/m4369820
2018 Toyota RAV4 LE,29788.,Used,2018,LE,Red,Automatic,All-wheel drive (AWD),Gasoline,"49,861",L9G 3K9,2022-07-23,https://www.kijiji.ca/v-cars-trucks/hamilton/2018-toyota-rav4-le/m4370583
 2021 Toyota RAV4 Trail,49995.,Used,2021,Trail,Black,Automatic,All-wheel drive (AWD),Gasoline,"20,775",K7M 4Y3,2022-03-26,https://www.kijiji.ca/v-cars-trucks/kingston-on/2021-toyota-rav4-trail/m3505837
2015 Toyota RAV4 LE - Bluetooth,,Used,2015,LE,Other,Automatic,All-wheel drive (AWD),Gasoline,"103,617",P1B 7S8,2022-07-23,https://www.kijiji.ca/v-cars-trucks/north-bay/2015-toyota-rav4-le-bluetooth/m4370344
 2017 Toyota RAV4 AWD | PLATINUM | MOCHA LEATHER | NAV | JBL AUDIO,29963.,Used,2017,AWD | PLATINUM | MOCHA LEATHER | NAV | JBL AUDIO,White,Automatic,All-wheel drive (AWD),Other,"108,250",N2G 2N7,2022-06-11,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2017-toyota-rav4-awd-platinum-mocha-leather-nav-jbl-audio/m4030766
Wanted: Wanted: Toyota RAV4 Between the Years of 2001 - 2012 ,2000.,Used,2004,,,,,,"600,000", L9T2Y5,2022-07-23,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/wanted:-toyota-rav4-between-the-years-of-2001-2012/1624480293
"2020 Toyota RAV4 LE One Owner, Toyota Serviced",36850.,Used,2020,LE,Grey,Automatic,All-wheel drive (AWD),Gasoline,"43,937",N5X 0N7,2022-06-18,https://www.kijiji.ca/v-cars-trucks/london/2020-toyota-rav4-le-one-owner-toyota-serviced/m4078010
"2019 Toyota RAV4 XLE No Accidents, Toyota Serviced",36850.,Used,2019,XLE,Black,Automatic,All-wheel drive (AWD),Gasoline,"75,050",N5X 0N7,2022-07-09,https://www.kijiji.ca/v-cars-trucks/london/2019-toyota-rav4-xle-no-accidents-toyota-serviced/m4245911
 2021 Toyota RAV4 XLE,44888.,Used,2021,XLE,Grey,Automatic,All-wheel drive (AWD),Gasoline,"1,000",K7M 4Y3,2022-03-26,https://www.kijiji.ca/v-cars-trucks/kingston-on/2021-toyota-rav4-xle/m3505835
 2018 Toyota RAV4 XLE,32995.,Used,2018,XLE,Silver,Automatic,All-wheel drive (AWD),Gasoline,"47,876",K7M 4Y3,2022-03-19,https://www.kijiji.ca/v-cars-trucks/kingston-on/2018-toyota-rav4-xle/m3457099
2020 Toyota RAV4,37888.,Used,2020,XLE | AWD | SUNROOF | TOUCHSCREEN | OPEN SUNDAYS!,Grey,Automatic,All-wheel drive (AWD),Gasoline,"75,289",N3T 5L8,2022-07-09,https://www.kijiji.ca/v-cars-trucks/brantford/2020-toyota-rav4/m4244918
 2017 Toyota RAV4 Hybrid SE,39995.,Used,2017,SE,White,Automatic,All-wheel drive (AWD),Hybrid-Electric,"49,801",K7M 4Y3,2022-07-23,https://www.kijiji.ca/v-cars-trucks/kingston-on/2017-toyota-rav4-hybrid-se/m4369813
2016 Toyota RAV4 LE INCOMING UNIT | REVERSE CAMERA | BLUETOOTH,23588.,Used,2016,LE,Silver,Automatic,All-wheel drive (AWD),Gasoline,"63,042",L3R 1G9,2022-07-09,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2016-toyota-rav4-le-incoming-unit-reverse-camera-bluetooth/m4245268
2021 Toyota RAV4 XLE,42388.,Used,2021,XLE,Silver,Automatic,All-wheel drive (AWD),Gasoline,"26,098",L3R 1G9,2022-07-23,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2021-toyota-rav4-xle/m4369661
2018 Toyota RAV4 FWD LE,24990.,Used,2018,FWD LE,White,Automatic,Front-wheel drive (FWD),Other,"91,599",L6V 1P9,2022-01-01,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2018-toyota-rav4-fwd-le/m2975052
"2021 Toyota RAV4 XLE Premium AWD- Sunroof, Leather",41998.,Used,2021,"XLE Premium AWD- Sunroof, Leather, Heated Seats, Radar Cruise, & More!",White,Automatic,All-wheel drive (AWD),Gasoline,"32,000",N1H 6J4,2022-07-16,https://www.kijiji.ca/v-cars-trucks/guelph/2021-toyota-rav4-xle-premium-awd-sunroof-leather/m4294873
 2018 Toyota RAV4 LE AWD,29388.,Used,2018,LE AWD,Silver,Automatic,All-wheel drive (AWD),Other,"64,609",N4X 1B7,2022-06-25,https://www.kijiji.ca/v-cars-trucks/london/2018-toyota-rav4-le-awd/m4145398
 2018 Toyota RAV4 LE,24998.,Used,2018,LE,Silver,Automatic,Front-wheel drive (FWD),Other,"104,985",L8E 2W8,2022-07-23,https://www.kijiji.ca/v-cars-trucks/hamilton/2018-toyota-rav4-le/m4369407
"2018 Toyota RAV4 LE AWD, Reverse Camera, Heated Seats",31888.,Used,2018,"LE AWD, Reverse Camera, Heated Seats, Blindspot Monitor, & Much More!",White,Automatic,All-wheel drive (AWD),Gasoline,"49,000",N1H 6J4,2022-05-07,https://www.kijiji.ca/v-cars-trucks/guelph/2018-toyota-rav4-le-awd-reverse-camera-heated-seats/m3786441
2021 Toyota RAV4 Limited NAVI / LEATHER / SUNROOF,45685.,Used,2021,Limited,Grey,Automatic,All-wheel drive (AWD),Gasoline,"55,234",M6N 1K8,2022-07-23,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2021-toyota-rav4-limited-navi-leather-sunroof/m4369236
2020 Toyota RAV4 LE HEATED SEATS / BACK UP CAMERA,36999.,Used,2020,LE,Red,Automatic,All-wheel drive (AWD),Gasoline,"10,637",M6N 1K8,2022-07-23,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2020-toyota-rav4-le-heated-seats-back-up-camera/m4369235
2018 Toyota RAV4 XLE XLE AWD with New Front Brakes and Low Ki...,31888.,Used,2018,XLE,Silver,Automatic,All-wheel drive (AWD),Gasoline,"56,218",L6L 6L4,2022-04-24,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2018-toyota-rav4-xle-xle-awd-with-new-front-brakes-and-low-ki/m3697050
"2019 Toyota RAV4 Hybrid XLE W/ Backup Cam, CarPlay, Power Moonroof",41990.,Used,2019,"Hybrid XLE W/ Backup Cam, CarPlay, Power Moonroof",Blue,Automatic,All-wheel drive (AWD),Hybrid-Electric,"103,204", M8Z5S8,2022-06-25,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2019-toyota-rav4-hybrid-xle-w-backup-cam-carplay-power-moonroof/m4144435
2021 Toyota RAV4 Hybrid XLE,53595.,Used,2021,XLE,White,Automatic,All-wheel drive (AWD),Hybrid-Electric,"20,736",M1T 3K4,2022-07-23,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2021-toyota-rav4-hybrid-xle/m4368957
Toyota RAV4,18500.,Used,2016,LE,Silver,Automatic,Front-wheel drive (FWD),Gasoline,"189,000",N6J 3R9,2022-07-23,https://www.kijiji.ca/v-cars-trucks/london/toyota-rav4/1626207028
 2021 Toyota RAV4 Hybrid XLE,53795.,Used,2021,Hybrid XLE,Grey,Automatic,All-wheel drive (AWD),Hybrid-Electric,"24,710",N0A 1E0,2022-05-21,https://www.kijiji.ca/v-cars-trucks/hamilton/2021-toyota-rav4-hybrid-xle/m3878466
